msoa11cd,msoa11nm
E02006887,Bristol 054
E02003043,Bristol 032
E02006889,Bristol 056
E02003036,Bristol 025
E02003034,Bristol 023
E02003050,Bristol 039
E02003047,Bristol 036
E02003015,Bristol 004
E02003021,Bristol 010
E02003013,Bristol 002
E02003017,Bristol 006
E02003012,Bristol 001
E02003020,Bristol 009
E02003014,Bristol 003
E02003019,Bristol 008
E02003018,Bristol 007
E02003062,Bristol 051
E02003064,Bristol 053
E02003063,Bristol 052
E02003057,Bristol 046
E02003059,Bristol 048
E02003061,Bristol 050
E02003058,Bristol 047
E02003060,Bristol 049
E02003053,Bristol 042
E02003038,Bristol 027
E02003029,Bristol 018
E02003039,Bristol 028
E02003032,Bristol 021
E02003044,Bristol 033
E02003041,Bristol 030
E02003024,Bristol 013
E02003023,Bristol 012
E02003025,Bristol 014
E02003030,Bristol 019
E02003054,Bristol 043
E02003049,Bristol 038
E02003031,Bristol 020
E02003052,Bristol 041
E02003051,Bristol 040
E02003048,Bristol 037
E02003055,Bristol 044
E02003056,Bristol 045
E02003046,Bristol 035
E02006888,Bristol 055
E02006890,Bristol 057
E02003040,Bristol 029
E02003033,Bristol 022
E02003028,Bristol 017
E02003022,Bristol 011
E02003027,Bristol 016
E02003016,Bristol 005
E02003045,Bristol 034
E02003037,Bristol 026
E02003026,Bristol 015
E02006846,North Somerset 027
E02003068,North Somerset 004
E02003077,North Somerset 013
E02003088,North Somerset 024
E02003076,North Somerset 012
E02003078,North Somerset 014
E02003070,North Somerset 006
E02003073,North Somerset 009
E02003072,North Somerset 008
E02003075,North Somerset 011
E02003065,North Somerset 001
E02003067,North Somerset 003
E02003066,North Somerset 002
E02003074,North Somerset 010
E02003071,North Somerset 007
E02003069,North Somerset 005
E02003080,North Somerset 016
E02006845,North Somerset 026
E02003079,North Somerset 015
E02003081,North Somerset 017
E02003085,North Somerset 021
E02003082,North Somerset 018
E02003084,North Somerset 020
E02003086,North Somerset 022
E02003089,North Somerset 025
E02003087,North Somerset 023
